order_id,h3_index,timestamp,preparation_time,time_bin
f5569f00-93ae-4817-ac2f-0ae174c619a8,883da1152bfffff,2025-01-01 09:00:00,17,2025-01-01 09:00:00
f50b34b2-ba7f-473e-96d1-d51b4dfd142f,883da1152bfffff,2025-01-01 09:00:00,21,2025-01-01 09:00:00
9424d329-126e-4eb9-966a-20105ef979b1,883da1152bfffff,2025-01-01 09:00:00,25,2025-01-01 09:00:00
f5400814-74e1-438c-a7c3-a80ef8409d1e,883da1152bfffff,2025-01-01 09:00:00,25,2025-01-01 09:00:00
79284b31-da9a-4930-a258-8bf618cee69b,883da1152bfffff,2025-01-01 09:15:00,16,2025-01-01 09:15:00
7492594b-0176-44c3-a183-2f1009155e83,883da1152bfffff,2025-01-01 09:15:00,22,2025-01-01 09:15:00
6dfb6590-f5e1-41ef-9be2-626b538340d9,883da1152bfffff,2025-01-01 09:15:00,20,2025-01-01 09:15:00
98d4c9a3-27f2-44a5-8575-e49265a3634a,883da1152bfffff,2025-01-01 09:45:00,23,2025-01-01 09:45:00
97a8cdf9-c143-4980-ba5e-236269cdddb3,883da1152bfffff,2025-01-01 09:45:00,15,2025-01-01 09:45:00
8f884ec0-770c-47e8-b06c-a06bfbdc3070,883da1152bfffff,2025-01-01 09:45:00,25,2025-01-01 09:45:00
92fdfbb3-953b-402d-b8a7-9d9d62d331e2,883da1152bfffff,2025-01-01 10:00:00,17,2025-01-01 10:00:00
bae41567-3a48-47ee-9d2b-b4f6e86b4a21,883da1152bfffff,2025-01-01 10:00:00,21,2025-01-01 10:00:00
09ad5a4d-1dd5-4ff2-8ad3-381e619b7eff,883da1152bfffff,2025-01-01 10:15:00,23,2025-01-01 10:15:00
15a05fb1-1958-40bf-9b09-4d2c6705987f,883da1152bfffff,2025-01-01 10:15:00,16,2025-01-01 10:15:00
ddc81294-5c97-4fe2-8d0b-7b2e767c71ac,883da1152bfffff,2025-01-01 10:15:00,24,2025-01-01 10:15:00
db500881-42e7-4dd8-adb7-2167d755b724,883da1152bfffff,2025-01-01 10:15:00,23,2025-01-01 10:15:00
14a68c8a-22a7-49cc-9969-1c7c17c3f3d0,883da1152bfffff,2025-01-01 10:15:00,24,2025-01-01 10:15:00
0e99bec0-8366-4989-8a41-8402f3168776,883da1152bfffff,2025-01-01 10:30:00,21,2025-01-01 10:30:00
7a068749-ac97-4462-b8a3-5fbe86ae6117,883da1152bfffff,2025-01-01 10:30:00,22,2025-01-01 10:30:00
aa5ffe2c-3b4f-4678-ab96-c0d25395dec1,883da1152bfffff,2025-01-01 11:00:00,20,2025-01-01 11:00:00
5ec22a24-f637-4aed-9b03-5c657cd095ac,883da1152bfffff,2025-01-01 11:00:00,20,2025-01-01 11:00:00
e32c0b13-6cd1-4b92-ba0c-d8b4f467738e,883da1152bfffff,2025-01-01 11:00:00,24,2025-01-01 11:00:00
3a30cf6a-9817-48c9-aa67-125ee7bb236c,883da1152bfffff,2025-01-01 11:15:00,16,2025-01-01 11:15:00
1f0c0a34-1c18-409e-a401-c570b2aad164,883da1152bfffff,2025-01-01 11:30:00,21,2025-01-01 11:30:00
4e7b18ca-680f-4026-9ca8-41f2802b7f09,883da1152bfffff,2025-01-01 11:30:00,23,2025-01-01 11:30:00
fc818420-ca35-43b8-ab75-5ed92769ba8b,883da1152bfffff,2025-01-01 11:30:00,22,2025-01-01 11:30:00
2daa228e-5995-4d73-9e88-6ce37666c46c,883da1152bfffff,2025-01-01 11:30:00,19,2025-01-01 11:30:00
aa22f396-8d55-4788-8494-6ec99987eca4,883da1152bfffff,2025-01-01 11:30:00,16,2025-01-01 11:30:00
fd4def67-c28e-4e08-ad0d-d62b1f15fd59,883da1152bfffff,2025-01-01 11:45:00,15,2025-01-01 11:45:00
92a9b92e-68f8-4a35-ace0-5088322b16ad,883da1152bfffff,2025-01-01 11:45:00,23,2025-01-01 11:45:00
a8bfbe93-e590-4a98-ad65-8cd8cc829621,883da1152bfffff,2025-01-01 11:45:00,21,2025-01-01 11:45:00
4fd6031c-f83c-4ee6-8c0a-3012ff795ebb,883da1152bfffff,2025-01-01 11:45:00,23,2025-01-01 11:45:00
4d70dfe0-faad-4c54-8a58-619c3379ebcc,883da1152bfffff,2025-01-01 11:45:00,22,2025-01-01 11:45:00
c406adf9-f502-4f4c-83be-b39913cdb0f7,883da1152bfffff,2025-01-01 12:00:00,17,2025-01-01 12:00:00
544c23f9-8e15-485b-b8b9-5e316ece4f8a,883da1152bfffff,2025-01-01 12:00:00,15,2025-01-01 12:00:00
b4c0b10f-d054-4b15-be24-84bd838f7680,883da1152bfffff,2025-01-01 12:15:00,21,2025-01-01 12:15:00
