truck_id,h3_index,latitude,longitude,capacity,speed,status
71013635-ad7a-4e1e-8a00-d4cb7c0fecb9,883da1b853fffff,28.796501460110214,77.25854734718274,499,31,available
fc1f2d4f-8642-4b8c-b28c-1e518ebec4b6,883da11707fffff,28.612330369180842,77.1547281943532,291,22,available
d71f2783-bbf9-4072-9509-acbf51dcfc7b,883da11551fffff,28.59184396036375,77.19789144451278,348,30,available
9f0d036e-f71b-42c1-8b5c-1cb8780b1581,883da11289fffff,28.624032296541184,77.07702703525825,209,36,available
7d30fc54-10c3-4f3d-9040-ce6d89fdddde,883da188b9fffff,28.647736564460722,76.99089786428472,338,25,available
73516e5b-4092-42f7-9647-4cba878cbd1d,883da110cdfffff,28.574633123779627,77.093980224759,302,21,available
0d50a63e-393f-4ece-bd2e-885fd3026450,883da1aa21fffff,28.715747429255487,77.34648693597623,459,39,available
a594e868-ec41-4ac7-bb43-b848659c7267,883da1843dfffff,28.856756958837003,77.10815833836676,496,36,available
fc7ddbac-2a58-4b16-89ed-9f10c251e782,883da11aa1fffff,28.439647588344062,77.05919467191933,359,26,available
d0351d28-ac90-45d2-b291-a41ad79524ef,883da1c6d7fffff,28.56695744337084,76.92818523019216,214,21,available
827d6b54-e3ed-4e12-8e03-8cc9cab26071,883da18221fffff,28.82841858643926,76.89001365087641,443,30,available
e18259bb-3045-4c6e-86d4-a2c0ae39b950,883da11ad7fffff,28.477845644845754,77.07186484114155,291,20,available
3362f92f-fe39-4a7b-a17e-96ce5606919a,883da18237fffff,28.828817511274437,76.91878071455804,364,33,available
182052a3-9ef2-4dbf-a471-972d083050d2,883da1805dfffff,28.821896867929958,76.91879999325499,402,28,available
89bfdd42-4c8d-42e9-8040-62a46a8c4e3c,883da18437fffff,28.844805749325545,77.12949252390172,230,36,available
4e96fb49-ac66-4d90-ad64-f9c380cbee25,883da18121fffff,28.73189138774585,76.89655779962794,233,37,available
2fe4faf6-4204-4b16-8d5c-4573e066d8af,883da116cdfffff,28.691561946460425,77.22192541118058,464,23,available
a50fea32-7af4-4512-931e-62ac1071fae5,883da18831fffff,28.639978178711264,76.93053408680261,430,39,available
b06b5d29-e4ab-482a-bfd7-cbe98f27c786,883da18f21fffff,28.68620934229063,77.00326192158275,126,26,available
72710935-fc4f-4ec2-9567-c24c71d82ef3,883da18893fffff,28.663536266361287,77.01180713458177,196,37,available
035e1b6e-f874-4e14-9633-5caeea1f65a6,883da18dbbfffff,28.65998936945648,77.13809382726981,204,30,available
48a7209c-a04d-4839-98b2-c31066108c5c,883da1c403fffff,28.49791234236223,76.89306477744385,431,28,available
83e812b6-7fc1-4cfc-a37d-00bfe1361c32,883da10305fffff,28.458632418218293,77.12382223019048,493,21,available
4144d547-6f71-4907-8b4e-03d04f469aef,883da102d9fffff,28.555198859478033,77.23062544277657,144,21,available
af48becc-0063-42de-b895-81628a40c408,883da10341fffff,28.478620402004616,77.11297941607084,206,25,available
b93215a6-c0b6-4b25-858b-303ef949bfff,883da1c4d5fffff,28.517220795343913,76.95832608054376,479,30,available
939a2ae6-9faa-4f22-adc8-706bcb5c4d33,883da18f51fffff,28.732752024773685,77.01088309318531,248,26,available
c01674cc-1f81-4823-b34f-a2e0d3fe6a15,883da11111fffff,28.518654056485843,77.05072775384527,296,25,available
c41b990f-0050-47a1-a98e-457256a23424,883da1c459fffff,28.52741099831644,76.87927775815272,402,30,available
98aa1d64-f8cd-4b47-b2c4-ff610dcb496e,883da18e17fffff,28.762557339182496,77.06385014981888,116,23,available
8139be7d-3ef4-4500-9d1c-7bccfb354a69,883da18261fffff,28.839865506400702,76.86195058760613,394,22,available
616e5dd5-d99c-4797-879d-781489ecc9ff,883da10469fffff,28.530198736883293,77.34103038624886,481,34,available
7cb89dd2-ffc5-40d2-883c-9f081f815147,883da1b96dfffff,28.714677035966545,77.18063521923366,428,20,available
